Date,Month,Day,Holiday,chan_1_1,chan_1_2,chan_1_3,chan_1_4,chan_1_5,chan_1_6,chan_1_7,chan_1_8,chan_1_9,chan_1_10,chan_1_11,chan_1_total,chan_2_1,chan_2_2,chan_2_total,chan_3_1,chan_3_2,chan_3_3,chan_3_4,chan_3_5,chan_3_6,chan_3_7,chan_3_8,chan_3_total,chan_4_1,chan_4_2,chan_4_3,chan_4_4,chan_4_5,chan_4_total,int_1,int_2,int_3,int_4,int_5,int_6,Target
10-Feb,Feb,Wednesday,0,7.55,0,73.98,356.29,0,0,0,129.22,5.55,124.16,76.61,773.36,0.97,6.88,7.85,0,0,5.62,0,0,0,2.18,0,2.18,32.61,0,61.96,0,0,94.57,6070.876,1685.9248,73136.6552,17.113,742.3745,206.1626,5
11-Feb,Feb,Thursday,0,1.08,4.43,88.25,358.28,0,0,0,122.21,2.52,147.49,92.65,816.91,7.99,6.87,14.86,13.3,0,15.87,0,0,1.41,8.1,0.29,9.8,8.21,0,222.91,0,0,231.12,12139.2826,8005.718,188804.2392,145.628,3434.4432,2264.976,9
12-Feb,Feb,Friday,0,0,5.14,85.64,350.1,0,0,0,115.31,7.1,159.5,81.51,804.3,4.28,6.77,11.05,0,0,8.74,0,0,0,3.43,3.99,7.42,8.31,0,172.3,0,0,180.61,8887.515,5967.906,145264.623,81.991,1995.7405,1340.1262,9
13-Feb,Feb,Saturday,0,0,0,85.74,328.96,0,0,0,115.58,24.12,145.6,72.82,772.82,2.29,6.11,8.4,0,2.65,11.07,0,0,0,7.81,4.34,12.15,7.88,0,148.77,0,0,156.65,6491.688,9389.763,121062.253,102.06,1315.86,1903.2975,4
14-Feb,Feb,Sunday,0,0,0,71.09,346.68,0,0,0,125,0,100.89,35.45,679.11,4.54,3.92,8.46,0,0,0,0,0,0,10.83,1.42,12.25,7.8,0,149.27,0,0,157.07,5745.2706,8319.0975,106667.8077,103.635,1328.8122,1924.1075,1
15-Feb,Feb,Monday,1,4.95,0,89.42,352.63,0,0,0,121.17,6.96,127.72,77.93,780.78,10.26,3.76,14.02,0,0,16.58,0,0,0,11.38,4.06,15.44,8.13,0,149.34,0,0,157.47,10946.5356,12055.2432,122949.4266,216.4688,2207.7294,2431.3368,8
16-Feb,Feb,Tuesday,0,5.71,0,87.07,341.38,0,0,0,130.24,0,150.65,80.07,795.12,1.62,3.96,5.58,0,0,3.09,0,0,0,0.33,2.56,2.89,7.96,0,76.19,0,0,84.15,4436.7696,2297.8968,66909.348,16.1262,469.557,243.1935,0
17-Feb,Feb,Wednesday,0,0,0,80.09,359.51,0,0,0,122.11,6.89,113.45,78.14,760.19,4.16,3.61,7.77,0,0,8.83,0,0,2.63,1.01,0.49,4.13,7.87,0,72.41,0,0,80.28,5906.6763,3139.5847,61028.0532,32.0901,623.7756,331.5564,2
18-Feb,Feb,Thursday,0,0,9.73,80.13,350.65,0,0,0,121.02,15.47,92.95,82.59,752.54,4.22,3.67,7.89,0,0,12.3,0,0,1.7,0.75,2.22,4.67,5.2,26.06,78,0,0,109.26,5937.5406,3514.3618,82222.5204,36.8463,862.0614,510.2442,10
19-Feb,Feb,Friday,0,1.64,0,76.39,340.14,0,0,0,113.45,3.02,112.39,76.69,723.72,2.55,3.57,6.12,0,0,8,0,0,0,15.7,3.54,19.24,5.22,41.53,83.83,0,0,130.58,4429.1664,13924.3728,94503.3576,117.7488,799.1496,2512.3592,3
